t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
720000,200,0,0,0,0,0,0,0,0,0,223,15,40,438,11581,39,8,60,101,114,0,11128,21,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,176
740000,198,0,0,2,1,0,2,2,1,0,225,15,39,442,11604,39,8,60,101,114,0,11151,23,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,177
760000,200,0,0,0,0,0,0,0,0,0,225,15,40,442,11606,39,8,60,102,115,0,11153,23,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,177
780000,193,1,0,6,2,1,2,2,1,0,229,15,39,449,11702,39,8,60,102,115,0,11242,24,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,178
800000,200,0,0,0,0,0,0,0,0,0,234,15,40,459,12138,40,8,60,104,117,0,11669,24,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,184
820000,198,0,0,2,1,0,2,2,1,0,235,15,40,461,12147,40,8,60,104,117,0,11678,26,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,185
840000,200,0,0,0,0,0,0,0,0,0,237,15,40,465,12267,40,8,60,106,119,0,11796,27,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,186
860000,200,0,0,0,0,0,0,0,0,0,237,15,40,465,12267,40,8,60,106,119,0,11796,27,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,186
880000,200,0,0,0,0,0,0,0,0,0,237,15,40,465,12267,40,8,60,106,119,0,11796,27,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,186
900000,200,0,0,0,0,0,0,0,0,0,237,15,40,465,12267,40,8,60,107,120,0,11796,28,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,186
920000,192,0,0,8,4,0,2,2,1,0,245,15,40,481,12627,42,8,60,110,123,0,12144,30,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,187
940000,194,0,0,6,3,0,2,2,1,0,257,15,40,503,13111,42,8,60,115,128,0,12608,32,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,195
960000,200,0,0,0,0,0,0,0,0,0,264,15,40,512,13312,42,8,60,120,133,0,12797,33,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,200
980000,196,0,0,4,2,0,2,2,2,1,267,15,40,518,13401,42,8,60,120,133,0,12884,35,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,201
1000000,200,0,0,0,0,0,0,0,0,0,269,15,40,522,13571,42,8,60,122,135,0,13050,35,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,203
