arm,seed,t,hostBirths,mimicBirths,otherBirths,products,hostSites,mimicSites,otherSites,hostBound,mimicBound,otherBound,matchedBound,mismatchedBound,productUnits,readyUnits,waitingUnits,sameSiteBound,productLateralEvents,productDockEvents,productBindEvents,boundBendDeg,boundShapeSamples,freeBendDeg,freeShapeSamples
soft0,9,40000,13,1,17,13,10567,2523,4294,5064,193,558,5760,55,10985,10616,0,5552,37,969,1089,796.8282272200181,5815,915.3298900345727,4801
durable,9,50000,12,2,18,6,10583,2416,3922,5649,466,418,6251,282,12095,11724,0,4842,32,856,2233,0.002360105825426945,6533,0.0019112462114084536,5191
soft0NoBind,9,50000,2,1,4,8,2222,3077,1130,0,0,0,0,0,4082,3858,0,0,30,464,0,0,0,884.8428999281138,3858
durable,10,10000,2,3,4,1,3094,3996,1344,1764,0,0,1764,0,2407,2249,0,1764,24,211,206,0.0006546191020610575,1764,0.0001775028833318734,485
durableNoBind,10,10000,2,0,3,8,2417,2862,1638,0,0,0,0,0,2964,2757,2,0,37,570,0,0,0,0.00100767547864793,2757
soft0,9,50000,13,2,8,11,9866,1859,3559,4543,675,551,5484,285,13023,12674,2,3924,26,786,2941,891.7234531346653,5769,1199.4374788038917,6905
soft0,10,10000,5,1,3,0,3956,2722,924,1857,0,0,1857,0,2067,1884,0,1857,30,511,247,276.56600101897556,1857,3.3822975440288423,27
durable,10,20000,4,5,3,2,2795,5297,2638,1901,60,6,1967,0,2679,2620,0,1901,13,193,174,0.0007223957319888386,1967,0.00022614222605363702,653
durableNoBind,10,20000,2,2,3,11,3603,1601,1085,0,0,0,0,0,5534,5228,0,0,44,732,0,0,0,0.0018313821302649443,5228
soft0NoBind,10,10000,2,1,5,13,3467,3122,1109,0,0,0,0,0,2884,2643,0,0,54,822,0,0,0,537.277137565827,2643
soft0,10,20000,6,2,4,4,5530,3005,1532,3290,1,2,3292,1,4228,4136,0,3291,14,440,304,505.77841980877554,3293,177.9519033967519,843
durable,10,30000,7,2,11,3,4573,4229,2661,2730,107,186,3019,4,4491,4369,0,2895,19,288,359,0.001162748960783441,3023,0.0004878128044310042,1346
durableNoBind,10,30000,5,1,3,9,4571,1392,1242,0,0,0,0,0,8375,8036,0,0,40,757,0,0,0,0.002933665470516784,8036
soft0NoBind,10,20000,3,0,7,11,2800,1674,887,0,0,0,0,0,5346,5099,0,0,39,601,0,0,0,1004.6205022111759,5099
soft0,10,30000,10,1,6,8,5633,3382,3069,3482,243,429,4122,32,6238,6048,0,3433,22,370,644,594.1733061020701,4154,318.191794750367,1894
durable,10,40000,10,3,2,1,6825,3974,2484,3655,208,200,3897,166,5919,5799,0,3552,18,564,1211,0.0015138993822596902,4063,0.000658071606816391,1736
soft0NoBind,10,30000,0,1,3,6,1056,1259,714,0,0,0,0,0,5956,5843,0,0,19,216,0,0,0,1191.6780814982583,5843
durableNoBind,10,40000,3,2,3,15,4924,1712,1318,0,0,0,0,0,9865,9487,0,0,59,801,0,0,0,0.0035969170160856483,9487
soft0,10,40000,10,0,9,7,8169,1158,3834,4623,44,525,5076,116,8917,8642,1,4142,30,501,1183,769.7246054181833,5192,601.2378679007684,3450
soft0NoBind,10,40000,0,0,0,1,600,1800,622,0,0,0,0,0,4463,4431,0,0,5,94,0,0,0,848.7488995596476,4431
durable,10,50000,11,6,9,9,8307,4494,3421,4448,927,373,5030,718,8408,8265,0,4099,23,581,4385,0.0021069877638854382,5748,0.000918811933287167,2517
durableNoBind,10,50000,3,0,3,7,4050,600,1747,0,0,0,0,0,8380,8036,2,0,33,768,0,0,0,0.0030328625790134642,8036
soft0NoBind,10,50000,3,2,1,4,1271,1948,1284,0,0,0,0,0,3691,3550,0,0,19,254,0,0,0,713.2203296804838,3550
soft0,10,50000,10,1,13,10,8936,801,4018,4587,102,1088,5325,452,10931,10659,0,3271,24,749,3196,843.0631767314359,5777,924.7719905699153,4882
