t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand,memActive,made,binds,melts,snaps,rayHits
700000,138,3,7,52,24,3,2.185,4,5,1.047,2128,75,40,3917,115588,316,47,0,944,948,0,111135,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
720000,172,1,4,23,12,1,2.077,3,3,1.14,2188,77,36,4028,119135,321,50,0,977,983,0,114563,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345
740000,162,3,6,29,14,3,2.059,3,3,1.221,2249,79,36,4136,121834,328,50,0,1002,1009,0,117131,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380
760000,157,0,5,38,21,0,2.048,3,2,0.276,2315,83,36,4266,124964,333,52,0,1025,1032,0,120123,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429
780000,138,2,4,56,28,2,2,2,2,0.469,2397,86,32,4411,129072,342,52,0,1055,1060,0,124068,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472
800000,172,0,4,24,14,0,2,2,2,0.75,2453,88,38,4504,132161,349,52,0,1087,1092,0,127044,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512
820000,174,1,1,24,10,1,2.182,3,2,0.684,2488,90,36,4575,133886,352,54,0,1097,1100,0,128690,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544
840000,153,1,3,43,21,1,2.091,3,3,0.866,2550,91,36,4686,137262,356,58,0,1122,1126,0,131936,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577
860000,137,1,1,61,29,1,2.067,3,3,0.812,2633,94,37,4841,141484,366,60,0,1156,1157,0,135980,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1625
880000,164,0,5,31,18,0,2,2,1,0,2686,96,38,4923,144888,377,62,0,1180,1182,0,139275,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1668
900000,177,1,3,19,10,1,2,2,2,0.439,2742,97,35,5017,148050,384,62,0,1205,1207,0,142327,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706
920000,161,1,4,34,18,1,2,2,1,0,2815,102,39,5142,151270,393,64,0,1231,1233,0,145401,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745
940000,181,1,0,18,8,1,2,2,1,0,2866,103,37,5229,153706,396,66,0,1259,1262,0,147741,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
960000,171,3,2,24,10,3,2,2,1,0,2900,105,36,5294,155839,401,67,0,1272,1276,0,149799,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797
980000,143,1,7,49,27,1,2,2,2,0.222,2958,105,37,5398,158428,407,69,0,1292,1296,0,152272,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823
1000000,150,2,3,45,21,2,2.087,3,2,0.426,3021,105,38,5519,162293,414,71,0,1326,1330,0,156006,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858
