t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
700000,173,23,198,118,41,17,4.948,11,33,4.724,1994,31,0,8934,238590,3223,1943,0,2839,5396,0,5963,232549,351,0,0,0,0,0,0,0,0,0,0,0
720000,175,34,183,120,29,21,5.06,11,36,4.966,2026,31,2,9161,244190,3305,1989,0,2907,5555,0,6120,237980,359,0,0,0,0,0,0,0,0,0,0,0
740000,197,34,142,139,28,21,4.816,11,32,4.791,2070,31,0,9429,250405,3376,2038,0,2987,5726,0,6288,244027,366,0,0,0,0,0,0,0,0,0,0,0
760000,198,26,169,119,36,19,4.473,11,35,4.84,2126,32,0,9699,257660,3484,2091,0,3066,5915,0,6484,251094,379,0,0,0,0,0,0,0,0,0,0,0
780000,162,35,196,119,43,21,4.297,11,38,4.889,2180,33,0,9954,264689,3575,2148,0,3148,6056,0,6662,257936,387,0,0,0,0,0,0,0,0,0,0,0
800000,205,32,159,116,39,19,4.138,9,34,4.719,2235,34,1,10194,271122,3659,2212,0,3234,6243,0,6819,264212,394,0,0,0,0,0,0,0,0,0,0,0
820000,184,28,181,119,47,21,3.985,9,31,4.535,2294,35,1,10449,277647,3733,2262,0,3326,6379,0,7007,270551,403,0,0,0,0,0,0,0,0,0,0,0
840000,169,27,187,129,46,20,4.258,10,34,4.721,2352,36,1,10707,284945,3816,2315,0,3402,6530,0,7181,277675,411,0,0,0,0,0,0,0,0,0,0,0
860000,184,30,180,118,41,22,4.063,10,27,4.31,2415,36,0,10945,291302,3911,2366,0,3501,6687,0,7347,283860,423,0,0,0,0,0,0,0,0,0,0,0
880000,164,26,181,141,45,19,4.328,10,34,4.732,2477,36,1,11227,297699,3999,2418,0,3585,6831,0,7524,290082,437,0,0,0,0,0,0,0,0,0,0,0
900000,162,26,206,118,44,19,4.46,11,36,4.87,2524,37,0,11456,304010,4080,2464,0,3658,6985,0,7694,296221,444,0,0,0,0,0,0,0,0,0,0,0
920000,190,26,170,126,34,18,4.827,13,33,4.778,2572,37,2,11708,310781,4166,2519,0,3739,7157,0,7838,302845,458,0,0,0,0,0,0,0,0,0,0,0
940000,174,32,184,122,32,19,5.059,13,32,4.662,2618,39,1,11977,317325,4262,2560,0,3814,7310,0,8021,309200,466,0,0,0,0,0,0,0,0,0,0,0
960000,126,36,197,153,32,24,4.821,13,35,4.861,2657,39,0,12242,323180,4341,2599,0,3877,7425,0,8186,314883,476,0,0,0,0,0,0,0,0,0,0,0
