t,free,docked,repel,tpl,strands,complexes,meanLen,maxLen,distinct,entropy,births,maxGen,eOn,energyUsed,docks,softDocks,captures,ligations,frays,unzips,fed,spent,undocks,spont,breaks,energyCharged,rings,memRings,memArcs,enclosedAB,enclosedE,enclosedTPL,enclosedMotif,totalMotif,ringsWithStrand
380000,102,13,98,299,93,13,3.557,6,18,3.54,1971,20,0,4653,208447,554,130,0,2355,5000,929,0,200765,12,0,0,0,0,0,0,0,0,0,0,0
400000,73,21,110,308,97,19,3.44,6,18,3.56,2074,21,4,4899,219419,577,137,0,2476,5251,963,0,211346,14,0,0,0,0,0,0,0,0,0,0,0
420000,100,22,109,281,80,21,3.545,6,16,3.248,2189,21,1,5141,231371,612,140,0,2626,5548,1029,0,222874,14,0,0,0,0,0,0,0,0,0,0,0
440000,96,27,90,299,87,23,3.309,6,19,3.407,2306,23,1,5423,244177,641,144,0,2768,5826,1096,0,235258,15,0,0,0,0,0,0,0,0,0,0,0
460000,115,12,111,274,95,11,3.462,6,19,3.621,2424,23,2,5667,256255,675,153,0,2910,6093,1153,0,246951,15,0,0,0,0,0,0,0,0,0,0,0
480000,127,20,87,278,85,16,3.465,6,19,3.79,2543,24,2,5929,269347,700,155,0,3056,6394,1202,0,259605,15,0,0,0,0,0,0,0,0,0,0,0
500000,102,28,66,316,89,24,3.257,6,20,3.63,2667,24,3,6204,281583,732,161,0,3190,6669,1241,0,271412,15,0,0,0,0,0,0,0,0,0,0,0
520000,99,18,103,292,95,17,3.304,6,21,3.582,2795,24,1,6462,293679,758,177,0,3343,6957,1282,0,283076,16,0,0,0,0,0,0,0,0,0,0,0
540000,137,18,134,223,86,16,3.275,6,21,3.622,2922,26,2,6696,305880,782,185,0,3508,7281,1316,0,294828,17,0,0,0,0,0,0,0,0,0,0,0
560000,90,30,106,286,81,26,3.374,6,23,3.733,3025,26,1,6954,317373,809,196,0,3640,7498,1359,0,305933,18,0,0,0,0,0,0,0,0,0,0,0
580000,94,16,88,314,97,15,3.384,6,21,3.663,3136,27,1,7216,327880,841,209,0,3768,7751,1394,0,316071,18,0,0,0,0,0,0,0,0,0,0,0
600000,73,18,67,354,108,16,3.315,6,22,3.697,3245,28,1,7487,339453,868,218,0,3895,7970,1426,0,327288,19,0,0,0,0,0,0,0,0,0,0,0
620000,73,22,66,351,100,19,3.319,6,18,3.472,3338,29,3,7735,351486,890,221,0,4017,8185,1469,0,338983,19,0,0,0,0,0,0,0,0,0,0,0
640000,85,15,107,305,106,15,3.289,6,19,3.585,3458,31,3,8000,362943,924,229,0,4160,8456,1501,0,350045,20,0,0,0,0,0,0,0,0,0,0,0
660000,86,20,127,279,94,18,3.393,6,17,3.641,3588,32,0,8264,375164,946,234,0,4328,8755,1539,0,361799,21,0,0,0,0,0,0,0,0,0,0,0
680000,101,17,140,254,93,14,3.514,6,21,3.894,3701,32,0,8517,386209,979,246,0,4474,9034,1579,0,372441,21,0,0,0,0,0,0,0,0,0,0,0
700000,62,19,92,339,95,18,3.611,5,20,3.824,3808,33,2,8793,397468,1003,252,0,4589,9271,1624,0,383313,21,0,0,0,0,0,0,0,0,0,0,0
720000,102,25,126,259,87,20,3.383,5,19,3.642,3926,34,1,9037,408412,1030,258,0,4748,9595,1658,0,393813,21,0,0,0,0,0,0,0,0,0,0,0
740000,95,25,99,293,85,23,3.398,6,19,3.531,4056,35,3,9331,420410,1068,262,0,4902,9895,1715,0,405349,21,0,0,0,0,0,0,0,0,0,0,0
760000,80,28,130,274,86,26,3.357,5,19,3.574,4174,36,0,9579,432513,1098,272,0,5042,10177,1750,0,417022,22,0,0,0,0,0,0,0,0,0,0,0
780000,100,17,149,246,99,16,3.33,6,23,3.575,4307,37,0,9829,443840,1123,281,0,5200,10483,1790,0,427909,23,0,0,0,0,0,0,0,0,0,0,0
800000,107,18,133,254,104,16,3.108,6,19,3.137,4442,39,0,10079,456821,1158,290,0,5357,10772,1839,0,440457,23,0,0,0,0,0,0,0,0,0,0,0
820000,97,19,117,279,101,18,3.092,6,18,3.236,4571,39,0,10335,469672,1205,294,0,5506,11029,1880,0,452884,23,0,0,0,0,0,0,0,0,0,0,0
840000,110,17,116,269,105,16,3.066,6,19,3.395,4698,39,1,10577,482399,1232,301,0,5653,11298,1911,0,465211,23,0,0,0,0,0,0,0,0,0,0,0
860000,109,21,142,240,103,18,3.008,6,19,3.263,4839,39,0,10806,494156,1256,315,0,5810,11582,1946,0,476530,23,0,0,0,0,0,0,0,0,0,0,0
880000,123,15,119,255,100,15,3.104,6,18,3.494,4956,40,0,11031,506868,1288,325,0,5955,11830,1986,0,488874,26,0,0,0,0,0,0,0,0,0,0,0
900000,119,24,111,258,95,19,3.035,7,21,3.466,5085,42,0,11266,519882,1313,342,0,6103,12116,2028,0,501469,29,0,0,0,0,0,0,0,0,0,0,0
920000,95,13,152,252,121,12,2.977,8,22,3.39,5235,43,2,11509,531460,1352,355,0,6258,12370,2060,0,512624,30,0,0,0,0,0,0,0,0,0,0,0
940000,115,17,122,258,99,15,3.167,7,23,3.603,5349,44,1,11773,543486,1372,365,0,6413,12622,2087,0,524264,30,0,0,0,0,0,0,0,0,0,0,0
960000,93,18,96,305,101,15,3.293,8,21,3.599,5466,46,1,12030,555509,1404,374,0,6547,12861,2124,0,535901,30,0,0,0,0,0,0,0,0,0,0,0
980000,75,22,100,315,91,21,3.411,7,20,3.67,5563,46,1,12298,566503,1427,380,0,6680,13100,2163,0,546507,30,0,0,0,0,0,0,0,0,0,0,0
1000000,100,15,116,281,98,12,3.445,6,25,3.932,5670,47,2,12527,577939,1452,390,0,6812,13363,2200,0,557578,30,0,0,0,0,0,0,0,0,0,0,0
